"","ESTIMATE_TYPE","LICENCE_AREA","OPNG_CAT","OPNG_DESC","TARGETS_CHINOOK","STAT_WEEK","FISHING_DATE","FISHING.MONTH","FISHING.YEAR","MGMT_AREA","AREA_NAME","CATCH_REGION","HRS_OPEN","VESSELS_OP","CHINOOK_KEPT","CHINOOK_RELD","COMMENTS"
"11","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/2",2010-09-08,9,2010,123,"management area 123","SWVI",24,1,0,70,NA
"12","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/2",2010-09-09,9,2010,123,"management area 123","SWVI",24,0,0,0,NA
"13","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/2",2010-09-10,9,2010,123,"management area 123","SWVI",24,0,0,0,NA
"14","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 1 - 5","YES"," 09/1",2011-09-01,9,2011,123,"management area 123","SWVI",24,1,0,114,NA
"15","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 1 - 5","YES"," 09/1",2011-09-02,9,2011,123,"management area 123","SWVI",24,1,0,139,NA
"16","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 1 - 5","YES"," 09/1",2011-09-03,9,2011,123,"management area 123","SWVI",24,1,0,150,NA
"17","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 1 - 5","YES"," 09/2",2011-09-04,9,2011,123,"management area 123","SWVI",24,1,0,159,NA
"18","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 1 - 5","YES"," 09/2",2011-09-05,9,2011,123,"management area 123","SWVI",24,0,0,0,NA
"19","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / Sub-Legal CN DNA Samp/ Sep 4-8","YES"," 09/1",2012-09-04,9,2012,123,"management area 123","SWVI",24,0,0,0,NA
"20","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / Sub-Legal CN DNA Samp/ Sep 4-8","YES"," 09/1",2012-09-05,9,2012,123,"management area 123","SWVI",24,1,0,72,NA
"21","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / Sub-Legal CN DNA Samp/ Sep 4-8","YES"," 09/1",2012-09-06,9,2012,123,"management area 123","SWVI",24,1,0,133,NA
"22","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / Sub-Legal CN DNA Samp/ Sep 4-8","YES"," 09/1",2012-09-07,9,2012,123,"management area 123","SWVI",24,1,0,75,NA
"23","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / Sub-Legal CN DNA Samp/ Sep 4-8","YES"," 09/1",2012-09-08,9,2012,123,"management area 123","SWVI",24,1,0,155,NA
"24","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,23,"management area 23","SWVI",24,1,0,0,NA
"25","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"26","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"27","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"28","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"29","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"30","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"31","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"32","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"33","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-01,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"34","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,23,"management area 23","SWVI",24,0,0,0,NA
"35","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"36","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"37","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"38","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"39","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"40","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"41","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"42","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"43","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-02,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"44","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,23,"management area 23","SWVI",24,0,0,0,NA
"45","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"46","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"47","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"48","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"49","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"50","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"51","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"52","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"53","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-03,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"54","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,23,"management area 23","SWVI",24,0,0,0,NA
"55","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"56","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"57","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"58","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"59","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"60","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"61","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"62","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"63","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-04,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"64","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,23,"management area 23","SWVI",24,1,55,10,NA
"65","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"66","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"67","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"68","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"69","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"70","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"71","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"72","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"73","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-05,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"74","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,23,"management area 23","SWVI",24,2,19,9,NA
"75","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"76","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"77","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"78","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"79","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"80","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"81","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"82","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"83","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/1",2007-01-06,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"84","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,23,"management area 23","SWVI",24,1,20,6,NA
"85","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"86","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"87","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"88","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"89","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"90","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"91","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"92","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"93","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-07,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"94","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,23,"management area 23","SWVI",24,2,21,8,NA
"95","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"96","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"97","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"98","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"99","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"100","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"101","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"102","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"103","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-08,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"104","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,23,"management area 23","SWVI",24,0,0,0,NA
"105","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"106","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"107","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"108","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"109","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"110","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"111","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"112","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,126,"management area 126","NWVI",24,0,0,0,NA
"113","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-09,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"114","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,23,"management area 23","SWVI",24,1,15,4,NA
"115","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"116","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"117","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"118","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"119","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"120","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"121","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"122","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,126,"management area 126","NWVI",24,1,15,0,NA
"123","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-10,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"124","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,23,"management area 23","SWVI",24,2,26,6,NA
"125","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"126","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"127","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
"128","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,27,"management area 27","NWVI",24,0,0,0,NA
"129","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,123,"management area 123","SWVI",24,0,0,0,NA
"130","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,124,"management area 124","SWVI",24,0,0,0,NA
"131","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,125,"management area 125","NWVI",24,0,0,0,NA
"132","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,126,"management area 126","NWVI",24,3,120,21,NA
"133","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-11,1,2007,127,"management area 127","NWVI",24,0,0,0,NA
"134","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-12,1,2007,23,"management area 23","SWVI",24,1,5,4,NA
"135","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-12,1,2007,24,"management area 24","SWVI",24,0,0,0,NA
"136","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-12,1,2007,25,"management area 25","NWVI",24,0,0,0,NA
"137","IN-SEASON","Area G - Salmon Troll","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31","YES"," 01/2",2007-01-12,1,2007,26,"management area 26","NWVI",24,0,0,0,NA
