record_code,format_version,submission_date,reporting_agency,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,epa_reach,description,rmis_region,rmis_basin,rmis_latitude,rmis_longitude,record_origin
"L","4.1","20200203","CDFO","2MS02H023       625","1","SWTR         H023-625",,,,,,"SWTR            BARKLEY SOUND","WCVI","SWVI","48.849524","-125.384102","N"
"L","4.1","20200203","CDFO","2MS27P123PACH BY 01","1","WSPT  PACH BY (123-1)","48.7844","-125.1315",,,,"WSPT            STAT AREA: P123 PACHENA BAY         P123","WCVI","SWVI","48.7844","-125.1315","N"
"L","4.1","20200203","CDFO","2MS62P014SARA BE 13","1","GSSPTCSARA BE (14-13)","49.8654","-125.1029",,,,"GSSPTC          STAT AREA: P014 SARATOGA BEACH      P014","GST","GSVI","49.8654","-125.1029","N"
"L","4.1","20200203","CDFO","2MS27P125FERR PT 03","1","WSPT  FERR PT (125-3)","49.7489","-126.9825",,,,"WSPT            STAT AREA: P125 FERRER POINT        P125","WCVI","NWVI","49.75","-126.9833","N"
"L","4.1","20200203","CDFO","2MS10M103       000","1","GSN          M103-000",,,,,,"GSN             PFMA 14, 16 (STAT AREAS 14, 16)","GST","GSTG","49.55","-124.38","N"
"L","4.1","20200203","CDFO","2MS10P014       085","1","GSN          P014-085",,,,,,"GSN             FRENCH CREEK (PFMA SUBS 14-1, -2, -4, PART OF -3)","GST","GSVI","49.35","-124.35","N"
"L","4.1","20200203","CDFO","2MS23P028PLUM CV 01","1","GSPTS PLUM CV (28-1)","49.4017","-123.4736",,,,"GSPTS           STAT AREA: P028 PLUMPER COVE        P028","GST","GSMS","49.4","-123.4667","N"
"L","4.1","20200203","CDFO","2MS61P013WLLO PT 02","1","JSSSPTWLLO PT (13-2)","49.9667","-125.2021",,,,"JSSSPT          STAT AREA: P013 WILLOW POINT        P013","GST","GSVI","49.9667","-125.2021","N"
"L","4.1","20200203","CDFO","2MS13P020       514","1","JFN          P020-514",,,,,,"JFN             SHERINGHAM POINT","WCVI","SWVI","48.3667","-123.9333","N"
"L","4.1","20200203","CDFO","2MS62P015WILL BE 01","1","GSSPTCWILL BE (15-1)","49.8474","-124.5362",,,,"GSSPTC          STAT AREA: P015 WILLINGDON BEACH    P015","GST","GSMS","49.8474","-124.5362","N"
"L","4.1","20200203","CDFO","2MS20H025       703","1","NWVN         H025-703",,,,,,"NWVN            GALIANO BAY","WCVI","NWVI","49.7114","-126.4703","N"
"L","4.1","20200203","CDFO","2MS20H026       094","1","NWVN         H026-094",,,,,,"NWVN            KYUQUOT SD.","WCVI","NWVI","49.94","-127.36","N"
"L","4.1","20200203","CDFO","2MS22P014COTT PT 01","1","GSPTN COTT PT (14-1)","49.3147","-124.2144",,,,"GSPTN           STAT AREA: P014 COTTAM POINT        P014","GST","GSVI","49.3167","-124.2333","N"
"L","4.1","20200203","CDFO","2MS22P016CLAY BK 01","1","GSPTN CLAY BK (16-1)","49.6781","-124.5116",,,,"GSPTN           STAT AREA: P016 CLAY BANKS          P016","GST","GSMS","49.5","-124.0167","N"
"L","4.1","20200203","CDFO","2MS27M23BOHIA IT 07","1","WSPT  OHIA IT (23-7)","48.8575","-125.1919",,,,"WSPT            STAT AREA: M23B OHIAT ISLET         M23B","WCVI","SWVI","48.8575","-125.1919","N"
"L","4.1","20200203","CDFO","2FS99GSVIH0151","1","H-CHEMAINUS R",,,,,,"CDN ESCMENT     CHEMAINUS R          GSVI","GST","GSVI","48.8833","-123.7","N"
"L","4.1","20200203","CDFO","2MS22P014LAMB CH 10","1","GSPTN LAMB CH (14-10)","49.5139","-124.7217",,,,"GSPTN           STAT AREA: P014 LAMBERT CHANNEL     P014","GST","GSVI","49.5333","-124.7167","N"
"L","4.1","20200203","CDFO","2MS22P013CARR BY 16","1","GSPTN CARR BY (13-16)","50.1433","-125.0089",,,,"GSPTN           STAT AREA: P013 CARRINGTON BAY      P013","JNST","JSM","50.1433","-125.0089","N"
"L","4.1","20200203","CDFO","2MS22P013CHAN CH 41","1","GSPTN CHAN CH (13-41)","50.4208","-125.6919",,,,"GSPTN           STAT AREA: P013 CHANCELLOR CHANNEL  P013","JNST","JSM","50.4167","-125.6667","N"
"L","4.1","20200203","CDFO","2MS22P013EARL LO 33","1","GSPTN EARL LO (13-33)","50.4131","-125.9208",,,,"GSPTN           STAT AREA: P013 EARL LEDGE          P013","JNST","JNSTG","50.4131","-125.9208","N"
"L","4.1","20200203","CDFO","2MS22P013ELK FAL 05","1","GSPTN ELK FAL (13-5)","50.0464","-125.2605",,,,"GSPTN           STAT AREA: P013 ELK FALLS           P013","JNST","JSVI","50.05","-125.3","N"
"L","4.1","20200203","CDFO","2MS27P027WAUK CK 10","1","WSPT  WAUK CK (27-10)","50.5881","-127.4181",,,,"WSPT            STAT AREA: P027 WAUKWAAS CREEK      P027","WCVI","NWVI","50.5833","-127.4167","N"
"L","4.1","20200203","CDFO","2FS99GSMNR1181","1","R-JUDD SL",,,,,,"CDN ESCMENT     JUDD SL              GSMN","GST","GSMS","49.767","-123.158","N"
"L","4.1","20200203","CDFO","2MS61P013HALL PT 26","1","JSSSPTHALL PT (13-26)","50.4447","-125.2847",,,,"JSSSPT          STAT AREA: P013 HALL POINT          P013","JNST","JSM","50.45","-125.2833","N"
"L","4.1","20200203","CDFO","2MS61P013ARRA RP 23","1","JSSSPTARRA RP (13-23)","50.4214","-125.1356",,,,"JSSSPT          STAT AREA: P013 ARRAN RAPIDS        P013","JNST","JSM","50.4214","-125.1356","N"
"L","4.1","20200203","CDFO","2MS20P025       000","1","NWVN         P025-000",,,,,,"NWVN            PFMA 25 - Nootka Sound, Esperanza Inlet","WCVI","NWVI",,,"N"
"L","4.1","20200203","CDFO","2FS99GSMNR0283","1","R-ANDERSON CR/PEN HA",,,,,,"CDN ESCMENT     ANDERSON CR/PEN HAR  GSMN","GST","GSMS","49.638","-128.987","N"
"L","4.1","20200203","CDFO","2MS23P29MPT ROBE 08","1","GSPTS PT ROBE (29-8)","48.9752","-123.0156",,,,"GSPTS           STAT AREA: P29M POINT ROBERTS       P29M","GST","GSMS","48.9752","-123.0156","N"
"L","4.1","20200203","CDFO","2MS22P013WHIR PO 23","1","GSPTN WHIR PO (13-23)","50.3833","-125.15",,,,"GSPTN           STAT AREA: P013 WHIRLPOOL           P013","JNST","JSM","50.3833","-125.15","N"
"L","4.1","20200203","CDFO","2MS23P017LAGO HD 21","1","GSPTS LAGO HD (17-21)","49.2281","-123.9497",,,,"GSPTS           STAT AREA: P017 LAGOON HEAD         P017","GST","GSVI","49.2333","-123.9333","N"
"L","4.1","20200203","CDFO","2MS22P014SARA BE 13","1","GSPTN SARA BE (14-13)","49.8654","-125.1029",,,,"GSPTN           STAT AREA: P014 SARATOGA BEACH      P014","GST","GSVI","49.8654","-125.1029","N"
"L","4.1","20200203","CDFO","2MS22P016IRON MI 21","1","GSPTN IRON MI (16-21)","49.7","-124.55",,,,"GSPTN           STAT AREA: P016 IRON MINE           P016","GST","GSMS","49.7","-124.55","N"
"L","4.1","20200203","CDFO","2MS23P017GALI IS 02","1","GSPTS GALI IS (17-2)","48.9231","-123.4386",,,,"GSPTS           STAT AREA: P017 GALIANO ISLAND      P017","GST","GSVI","48.9231","-123.4386","N"
"L","4.1","20200203","CDFO","2MS23M19APATR BY 08","1","GSPTS PATR BY (19-8)","48.6547","-123.4625",,,,"GSPTS           STAT AREA: M19A PATRICIA BAY        M19A","GST","GSVI","48.6547","-123.4625","N"
"L","4.1","20200203","CDFO","2MS23P018SEPA PT 07","1","GSPTS SEPA PT (18-7)","48.7428","-123.5697",,,,"GSPTS           STAT AREA: P018 SEPARATION POINT    P018","GST","GSVI","48.75","-123.5667","N"
"L","4.1","20200203","CDFO","2MS24P020SCRE IS 05","1","JFSPT SCRE IS (20-5)","48.3331","-123.7075",,,,"JFSPT           STAT AREA: P020 SECRETARY ISLAND    P020","WCVI","SWVI","48.3331","-123.7075","N"
"L","4.1","20200203","CDFO","2MS01M140       325","1","NWTR         M140-325",,,,,,"NWTR            PFMAS 25, 125, 27, 127 - MRP SUBS 67, 69","WCVI","NWVI",,,"N"
"L","4.1","20200203","CDFO","2MS23P028HALK PT 02","1","GSPTS HALK PT (28-2)","49.4456","-123.3214",,,,"GSPTS           STAT AREA: P028 HALKETT POINT       P028","GST","GSMS","49.45","-123.3167","N"
"L","4.1","20200203","CDFO","2MS23P028HLEI WL 02","1","GSPTS HLEI WL (28-2)","49.3833","-123.2667",,,,"GSPTS           STAT AREA: P028 HOLE IN WALL        P028","GST","GSMS","49.3833","-123.2667","N"
"L","4.1","20200203","CDFO","2MS23P028KEAT IS 01","1","GSPTS KEAT IS (28-1)","49.3986","-123.4583",,,,"GSPTS           STAT AREA: P028 KEATS ISLAND        P028","GST","GSMS","49.4","-123.4667","N"
"L","4.1","20200203","CDFO","2MS27P121BONI PT 01","1","WSPT  BONI PT (121-1)","48.5942","-124.7161",,,,"WSPT            STAT AREA: P121 BONILLA POINT       P121","WCVI","SWVI","48.5833","-124.7167","N"
"L","4.1","20200203","CDFO","2MS27P124FLRC IT 01","1","WSPT  FLRC IT (124-1)","48.9792","-125.6433",,,,"WSPT            STAT AREA: P124 FLORENCIA ISLET     P124","WCVI","SWVI","48.9792","-125.6433","N"
"L","4.1","20200203","CDFO","2MS27M23BAUST IS 08","1","WSPT  AUST IS (23-8)","48.8629","-125.3149",,,,"WSPT            STAT AREA: M23B AUSTIN ISLAND       M23B","WCVI","SWVI","48.8629","-125.3149","N"
"L","4.1","20200203","CDFO","2MS27M23BKIRB IS 10","1","WSPT  KIRB IS (23-10)","49.0213","-125.3156",,,,"WSPT            STAT AREA: M23B KIRBY ISLAND        M23B","WCVI","SWVI","49.0213","-125.3156","N"
"L","4.1","20200203","CDFO","2M BMP014NORR RK 07","1","BC MARNORR RK (14-7)","49.4842","-124.6481",,,,"BC MARINE       STAT AREA: P014 NORRIS ROCKS        P014","GST","GSVI","49.4842","-124.6481","N"
"L","4.1","20200203","CDFO","2MS27P026FAIR HA 04","1","WSPT  FAIR HA (26-4)","50.0667","-127.135",,,,"WSPT            STAT AREA: P026 FAIR HARBOUR        P026","WCVI","NWVI","50.0667","-127.15","N"
"L","4.1","20200203","CDFO","2MN26P012BONE BY 26","1","CSPT  BONE BY (12-26)","50.5861","-126.3592",,,,"CSPT            STAT AREA: P012 BONES BAY           P012","JNST","JSM","50.5833","-126.35","N"
"L","4.1","20200203","CDFO","2MS61P013FRAN BY 19","1","JSSSPTFRAN BY (13-19)","50.3417","-125.0294",,,,"JSSSPT          STAT AREA: P013 FRANCES BAY         P013","JNST","JSM","50.3417","-125.0294","N"
"L","4.1","20200203","CDFO","2MS11P013       580","1","JSN          P013-580",,,,,,"JSN             DEEP WATER BAY","JNST","JSM","50.1869","-125.3439","N"
"L","4.1","20200203","CDFO","2MS04P013       076","1","GSTR         P013-076",,,,,,"GSTR            CAMPBELL RIVER","GST","GSVI","50.01","-125.22","N"
"L","4.1","20200203","CDFO","2MS22P013CAMP PT 32","1","GSPTN CAMP PT (13-32)","50.3846","-125.82",,,,"GSPTN           STAT AREA: P013 CAMP POINT          P013","JNST","JNSTG","50.3846","-125.82","N"
"L","4.1","20200203","CDFO","2MS22P013CORT IS 15","1","GSPTN CORT IS (13-15)","50.1194","-124.9208",,,,"GSPTN           STAT AREA: P013 CORTES ISLAND       P013","JNST","JSM","50.1194","-124.9208","N"
"L","4.1","20200203","CDFO","2MS22P013CRDE CH 41","1","GSPTN CRDE CH (13-41)","50.4467","-125.2583",,,,"GSPTN           STAT AREA: P013 CORDERO CHANNEL     P013","JNST","JSM","50.45","-125.4167","N"
"L","4.1","20200203","CDFO","2MS22P013RAZA IS 19","1","GSPTN RAZA IS (13-19)","50.3","-124.9994",,,,"GSPTN           STAT AREA: P013 RAZA ISLAND         P013","JNST","JSM","50.3","-125","N"
"L","4.1","20200203","CDFO","2MS22P013READ IS 12","1","GSPTN READ IS (13-12)","50.2314","-125.0864",,,,"GSPTN           STAT AREA: P013 READ ISLAND         P013","JNST","JSM","50.2167","-125.1","N"
"L","4.1","20200203","CDFO","2MS22P015MYRT PT 01","1","GSPTN MYRT PT (15-1)","49.7803","-124.4539",,,,"GSPTN           STAT AREA: P015 MYRTLE POINT        P015","GST","GSMS","49.7833","-124.45","N"
"L","4.1","20200203","CDFO","2MS22P015MYST RF 02","1","GSPTN MYST RF (15-2)","49.9167","-124.7167",,,,"GSPTN           STAT AREA: P015 MYSTERY REEF        P015","GST","GSMN","49.9167","-124.7167","N"
"L","4.1","20200203","CDFO","2MS27P124BARN RK 03","1","WSPT  BARN RK (124-3)","49.3477","-126.2875",,,,"WSPT            STAT AREA: P124 BARNEY ROCKS        P124","WCVI","SWVI","49.3477","-126.2875","N"
"L","4.1","20200203","CDFO","2MS22P014TRIB BY 07","1","GSPTN TRIB BY (14-7)","49.5164","-124.6272",,,,"GSPTN           STAT AREA: P014 TRIBUNE BAY         P014","GST","GSVI","49.5","-124.6167","N"
"L","4.1","20200203","CDFO","2MN26H011CP CAUT","1","CSPT  CP CAUT [H011]","51.1636","-127.7867",,,,"CSPT            STAT AREA: H011 CAPE CAUTION        H011","JNST","JNSTG","51.1636","-127.7867","N"
"L","4.1","20200203","CDFO","2MS23P017DOUG IS 12","1","GSPTS DOUG IS (17-12)","49.3111","-124.1531",,,,"GSPTS           STAT AREA: P017 DOUGLAS ISLAND      P017","GST","GSVI","49.3167","-124.15","N"
"L","4.1","20200203","CDFO","2MS23P017HORS CH 12","1","GSPTS HORS CH (17-12)","49.2242","-123.9358",,,,"GSPTS           STAT AREA: P017 HORSWELL CHANNEL    P017","GST","GSVI","49.2167","-123.9167","N"
"L","4.1","20200203","CDFO","2MS22P013ROD AND 02","1","GSPTN ROD AND (13-2)","49.9333","-125.1833",,,,"GSPTN           STAT AREA: P013 ROD AND REEL        P013","JNST","JSVI","49.9333","-125.1833","N"
"L","4.1","20200203","CDFO","2MS24M19BFIDD RF 04","1","JFSPT FIDD RF (19-4)","48.4294","-123.2839",,,,"JFSPT           STAT AREA: M19B FIDDLE REEF         M19B","GST","GSVI","48.4333","-123.2833","N"
"L","4.1","20200203","CDFO","2MS23P028GAMB IS 02","1","GSPTS GAMB IS (28-2)","49.4931","-123.3931",,,,"GSPTS           STAT AREA: P028 GAMBIER ISLAND      P028","GST","GSMS","49.4833","-123","N"
"L","4.1","20200203","CDFO","2MS27M23BRAIN BY 04","1","WSPT  RAIN BY (23-4)","48.9677","-125.0391",,,,"WSPT            STAT AREA: M23B RAINY BAY           M23B","WCVI","SWVI","48.9677","-125.0391","N"
"L","4.1","20200203","CDFO","2MS27M23BVERN BY 06","1","WSPT  VERN BY (23-6)","48.9884","-125.1461",,,,"WSPT            STAT AREA: M23B VERNON BAY          M23B","WCVI","SWVI","48.9884","-125.1461","N"
"L","4.1","20200203","CDFO","2MS27P025DISC PT 06","1","WSPT  DISC PT (25-6)","49.5856","-126.5575",,,,"WSPT            STAT AREA: P025 DISCOVERY POINT     P025","WCVI","NWVI","49.5856","-126.5575","N"
"L","4.1","20200203","CDFO","2MS27P025TAHS NA 08","1","WSPT  TAHS NA (25-8)","49.8461","-126.7047",,,,"WSPT            STAT AREA: P025 TAHSIS NARROWS      P025","WCVI","NWVI","49.7167","-126.6167","N"
"L","4.1","20200203","CDFO","2MS27P025ZUCI CH 15","1","WSPT  ZUCI CH (25-15)","49.6189","-126.5086",,,,"WSPT            STAT AREA: P025 ZUCIARTE CHANNEL    P025","WCVI","NWVI","49.6","-126.5","N"
"L","4.1","20200203","CDFO","2MS27P026AMAI IN 03","1","WSPT  AMAI IN (26-3)","50.0228","-127.1183",,,,"WSPT            STAT AREA: P026 AMAI INLET          P026","WCVI","NWVI","50.0167","-127.1167","N"
"L","4.1","20200203","CDFO","2MS27P027HARV CV 02","1","WSPT  HARV CV (27-2)","50.4275","-127.9258",,,,"WSPT            STAT AREA: P027 HARVEY COVE         P027","WCVI","NWVI","50.4275","-127.9258","N"
"L","4.1","20200203","CDFO","2MS27P027MAHA RV 07","1","WSPT  MAHA RV (27-7)","50.4668","-127.8107",,,,"WSPT            STAT AREA: P027 MAHATTA RIVER       P027","WCVI","NWVI","50.4668","-127.8107","N"
"L","4.1","20200203","CDFO","2MS61P013PICT PT 25","1","JSSSPTPICT PT (13-25)","50.4675","-125.3975",,,,"JSSSPT          STAT AREA: P013 PICTON POINT        P013","JNST","JSM","50.4667","-125.4","N"
"L","4.1","20200203","CDFO","2MS61P013ROCK BY 28","1","JSSSPTROCK BY (13-28)","50.3314","-125.4772",,,,"JSSSPT          STAT AREA: P013 ROCK BAY            P013","JNST","JNSTG","50.3333","-125.4667","N"
"L","4.1","20200203","CDFO","2MS62P014PALL RK 11","1","GSSPTCPALL RK (14-11)","49.6167","-124.8333",,,,"GSSPTC          STAT AREA: P014 PALLISER ROCK       P014","GST","GSVI","49.6167","-124.8333","N"
"L","4.1","20200203","CDFO","2MS62P014QUAL BE 05","1","GSSPTCQUAL BE (14-5)","49.3556","-124.4514",,,,"GSSPTC          STAT AREA: P014 QUALICUM BEACH      P014","GST","GSVI","49.3556","-124.4514","N"
"L","4.1","20200203","CDFO","2MS62P014QUAL BY 05","1","GSSPTCQUAL BY (14-5)","49.4092","-124.6283",,,,"GSSPTC          STAT AREA: P014 QUALICUM BAY        P014","GST","GSVI","49.4092","-124.6283","N"
"L","4.1","20200203","CDFO","2MS62P014SEAL BY 13","1","GSSPTCSEAL BY (14-13)","49.7656","-124.9642",,,,"GSSPTC          STAT AREA: P014 SEAL BAY            P014","GST","GSVI","49.7656","-124.9642","N"
"L","4.1","20200203","CDFO","2MS62P015SLIAMMO 02","1","GSSPTCSLIAMMO (15-2)","49.8972","-124.6083",,,,"GSSPTC          STAT AREA: P015 SLIAMMON            P015","GST","GSMN","49.8833","-124.6","N"
"L","4.1","20200203","CDFO","2MS62P015TWIN IS 03","1","GSSPTCTWIN IS (15-3)","50.0294","-124.9328",,,,"GSSPTC          STAT AREA: P015 TWIN ISLANDS        P015","GST","GSMN","50.0167","-124.9167","N"
"L","4.1","20200203","CDFO","2MS62P015VIVI IS 02","1","GSSPTCVIVI IS (15-2)","48.8406","-124.7011",,,,"GSSPTC          STAT AREA: P015 VIVIAN ISLAND       P015","GST","GSMN","48.8406","-124.7011","N"
"L","4.1","20200203","CDFO","2MS62P016BUCC BY 01","1","GSSPTCBUCC BY (16-1)","49.5011","-123.9878",,,,"GSSPTC          STAT AREA: P016 BUCCANEER BAY       P016","GST","GSMS","49.5","-123.9833","N"
"L","4.1","20200203","CDFO","2MS62P016GILL BY 21","1","GSSPTCGILL BY (16-21)","49.6661","-124.4789",,,,"GSSPTC          STAT AREA: P016 GILLIES BAY         P016","GST","GSMS","49.6667","-124.4833","N"
"L","4.1","20200203","CDFO","2MS62P016HALF BY 01","1","GSSPTCHALF BY (16-1)","49.5014","-123.925",,,,"GSSPTC          STAT AREA: P016 HALFMOON BAY        P016","GST","GSMS","49.5","-123.9333","N"
"L","4.1","20200203","CDFO","2MS62P016MOUA BY 21","1","GSSPTCMOUA BY (16-21)","49.6394","-124.4511",,,,"GSSPTC          STAT AREA: P016 MOUAT BAY           P016","GST","GSMS","49.6394","-124.4511","N"
"L","4.1","20200203","CDFO","2MS62P016PILINGS 18","1","GSSPTCPILINGS (16-18)","49.6313","-124.2817",,,,"GSSPTC          STAT AREA: P016 PILINGS             P016","GST","GSMS","49.65","-124.2833","N"
"L","4.1","20200203","CDFO","2MS27H025BURD PT","1","WSPT  BURD PT [H025]","49.5789","-126.5692",,,,"WSPT            STAT AREA: H025 BURDWOOD POINT      H025","WCVI","WCVIG","49.5789","-126.5692","N"
"L","4.1","20200203","CDFO","2MS27H025CENT IS","1","WSPT  CENT IS [H025]","49.8469","-126.9306",,,,"WSPT            STAT AREA: H025 CENTRE ISLAND       H025","WCVI","NWVI","49.8469","-126.9306","N"
"L","4.1","20200203","CDFO","2MS70M23A       000","1","AIEO         M23A-000",,,,,,"AIEO            PFMA 23 (Alberni Inlet: 23-1, 23-2) (MRP AREA 23A)","WCVI","SWVI","49.104","-124.83","N"
"L","4.1","20200203","CDFO","2MS85P018       172","1","GSRESSPT     P018-172",,,,,,"GSRESSPT        SANSUM NARROWS (PFMA SUBS 18-7, -8)","GST","GSVI","48.74","-123.57","N"
"L","4.1","20200203","CDFO","2MSAIM23A       054","1","AIGNEO       M23A-054",,,,,,"AIGNEO          INSIDE SURFLINE - ALBERNI INLET PFMA SUBS 23-1, -2","WCVI","SWVI","49.104","-124.83","N"
"L","4.1","20200203","CDFO","2MSAIM23A       723","1","AIGNEO       M23A-723",,,,,,"AIGNEO          MOUTH OF SOMASS RIVER TO LONE TREE POINT (PFMA SUB 23-1)","WCVI","SWVI","49.226","-124.826","N"
"L","4.1","20200203","CDFO","2MS27P124HYSO BK 01","1","WSPT  HYSO BK (124-1)","48.8971","-125.8946",,,,"WSPT            STAT AREA: P124 HYSON BANK          P124","WCVI","SWVI","48.896","-125.8851","N"
"L","4.1","20200203","CDFO","2MS23M19ASAAN BY","1","GSPTS SAAN BY (M19A)","48.5983","-123.3839",,,,"GSPTS           STAT AREA: M19A SAANICHTON BAY      M19A","GST","GSVI","48.5983","-123.3839","N"
"L","4.1","20200203","CDFO","2MS62P016GARD BY 17","1","GSSPTCGARD BY (16-17)","49.6294","-124.0225",,,,"GSSPTC          STAT AREA: P016 GARDEN BAY          P016","GST","GSMS","49.6294","-124.0225","N"
"L","4.1","20200203","CDFO","2MS27P127CP SCTO 03","1","WSPT  CP SCTO (127-3)","50.7741","-128.4472",,,,"WSPT            STAT AREA: P127 CAPE SCOTT          P127","WCVI","NWVI","50.7741","-128.4472","N"
"L","4.1","20200203","CDFO","2MS27P127SOLA IS 02","1","WSPT  SOLA IS (127-2)","50.1114","-127.9403",,,,"WSPT            STAT AREA: P127 SOLANDER ISLAND     P127","WCVI","NWVI","50.1167","-127.9333","N"
"L","4.1","20200203","CDFO","2MS27H024LENN IO","1","WSPT  LENN IO [H024]",,,,,,"WSPT            STAT AREA: H024 LENNARD ISLAND      H024","WCVI","SWVI",,,"N"
"L","4.1","20200203","CDFO","2MS27H027KWAK PT","1","WSPT  KWAK PT [H027]","50.3494","-127.9953",,,,"WSPT            STAT AREA: H027 KWAKIUTL POINT      H027","WCVI","NWVI","50.3494","-127.9953","N"
"L","4.1","20200203","CDFO","2MS27H024CLFF PT","1","WSPT  CLFF PT [H024]","49.2839","-126.0336",,,,"WSPT            STAT AREA: H024 CLIFFORD POINT      H024","WCVI","SWVI","49.2839","-126.0336","N"
"L","4.1","20200203","CDFO","2FS99GSMNR0319","1","R-SQUAMISH R",,,,,,"CDN ESCMENT     SQUAMISH R           GSMN","GST","GSMS","49.685","-123.181","N"
