CRUISE NUMBER,STATION,SPECIES,SPECIES CODE,SUBSAMPLE WT,TOTAL WT (g),COUNT,COMMENTS
2019-125,QCST06,YOY SHORTBELLY ROCKEFISH,,,,1,
2019-125,QCST06,WATER JELLY,,,790,,
2019-125,QCST06,HERRING,,,91,1,
2019-125,QCST07,PINK,,,980,13,
2019-125,QCST07,CHUM,,,197,2,
2019-125,QCST07,FRIED EGG JELLY,,,149,,
2019-125,QCST08,PINK,,,4950,78,
2019-125,QCST08,CHUM,,,1870,19,
2019-125,QCST08,SABLEFISH,,,1550,12,
2019-125,QCST08,COHO,,,2650,8,
2019-125,QCST08,CHINOOK,,,142,1,
2019-125,QCST08,SOCKEYE,,,43,1,
2019-125,QCST08,FRIED EGG JELLY,,,650,1,
2019-125,QCST08,CHUM ADULT,,,4370,1,
2019-125,QCST09,PINK,,,9530,157,
2019-125,QCST09,CHUM,,,7860,81,
2019-125,QCST09,COHO,,,2320,7,
2019-125,QCST09,SABLEFISH,,,250,2,
2019-125,QCST09,CHINOOK,,,166,1,
2019-125,QCST09,FRIED EGG JELLY,,,310,1,
2019-125,QCST09,MOON JELLY,,,330,1,
2019-125,BR01,CHINOOK,,,1520,22,
2019-125,BR01,CHINOOK ADULT,,,700,1,
2019-125,BR01,CHUM,,,270,3,
2019-125,BR01,MOON JELLY,,,274,1,
2019-125,BR01,SABLEFISH,,,403,3,
2019-125,BR01,LIONS MANE,,,4010,1,
2019-125,BR02,CHINOOK,,,135,1,
2019-125,BR03,CHINOOK,,,680,8,
2019-125,BR03,CHUM,,,922,11,
2019-125,BR04,CHUM,,,1140,15,
2019-125,BR04,CHINOOK,,,171,1,
2019-125,BR04,FRIED EGG JELLY,,,1100,1,
2019-125,BR04,LIONS MANE,,,10740,3,
2019-125,BR04,MOON JELLY,,,410,1,
2019-125,BR04,WATER JELLY,,,170,,
2019-125,BR05,HERRING,,,11,1,
2019-125,BR05,LIONS MANE,,,2436,6,
2019-125,KI01,STARRY FLOUNDER,,,863,1,
2019-125,KI01,LIONS MANE,,,2600,,
2019-125,KI02,CHINOOK,,,330,5,
2019-125,KI02,STARRY FLOUNDER,,,1550,1,
2019-125,KI02,LIONS MANE,,,6110,1,
2019-125,KI02,MOON JELLY,,,332,2,
2019-125,KI02,WALLEYE POLLOCK,,,9,1,
