fish,event,set,troughIn,troughOut,gearDepth,gearType,fl,circ,hookLoc,clip,dna,gill,scaleBook,scaleNumber,pitLeader,pitID,floy,acoustic,injury,scaleLoss,finDam,E1,E2,vor,tailGrab,bodyFlex,vent,ori,comment
CK25,CT2019_022,022,1137,1141,24,spoon,64,39,corner,N,425,CF15,15631,3-5,989.0010306,20018,016,7703,0,0,2,1.5,1.4,0,0,0,0,0,
CK26,CT2019_022,022,1146,1151,16,spoon,72,46,corner,N,426,CF16,15631,6-7,989.0010306,20045,017,7704,1,0,1,6.4,4.3,0,0,0,0,0,
CK27,CT2019_022,022,1155,1158,30,flasher,59,35,corner,N,427,NA,15631,8-9,989.0010306,19964,NA,NA,0,0,2,5.7,3.4,0,0,0,0,0,
CK28,CT2019_022,022,NA,NA,NA,NA,53,30,corner,N,428,NA,15631,10-11,NA,NA,NA,NA,NA,NA,NA,2.1,1.5,NA,NA,NA,NA,NA,landed dead
CK29,CT2019_023,023,NA,NA,30,flasher,54,31,corner,N,429,NA,15631,12-13,NA,NA,NA,NA,NA,NA,NA,1.3,0.7,NA,NA,NA,NA,NA,landed dead
CK30,CT2019_023,023,1216,1221,30,flasher,68,42,corner,N,430,CF17,15631,14-15,989.0010306,20007,018,7705,0,1,1,6.1,4.3,0,0,0,0,0,
CK31,CT2019_023,023,1224,1230,18,spoon,71,48,corner,N,431,CF18,15631,16-17,989.0010306,19994,019,7706,0,0,1,7.5,4.5,0,0,0,0,0,
CK32,CT2019_023,023,1229,1233,18,flasher,71,43,corner,N,432,NA,15631,18-19,989.0010306,19982,NA,NA,2,1,1,6.4,3.9,0,0,0,0,0,lots of lice
CK33,CT2019_024,024,1254,1259,30,flasher,57,32,corner,N,433,NA,15631,20-21,NA,NA,NA,NA,0,2,1,2.1,1.3,0,0,0,0,0,forgot to PIT tag
CK34,CT2019_024,024,1300,1304,18,flasher,63,38,corner,N,434,CF19,15631,22-23,989.0010306,19986,020,7707,0,0,1,1.9,1.6,0,0,0,0,0,
CK35,CT2019_025,025,1316,1321,26,spoon,62,34,corner,N,435,CF20,15631,24-25,989.0010306,19976,021,7708,0,0,0,2.3,1.9,0,0,0,0,0,
CK36,CT2019_025,025,1322,1325,30,flasher,72,47,corner,N,436,NA,15631,26-27,989.0010306,20048,NA,NA,3,1,1,7.8,3.8,0,0,0,0,0,lots of wounds
CK37,CT2019_025,025,1327,1331,18,spoon,72,42,corner,N,437,NA,15631,28-29,989.0010306,20035,NA,NA,2,2,1,8.5,3.9,0,0,0,0,0,PIT bleed
CK38,CT2019_026,026,0620,0625,18,flasher,76,44,corner,N,438,CF21,15631,30-31,989.0010306,20054,022,7709,0,1,0,5.3,3.7,0,0,0,0,0,
CK39,CT2019_026,026,0625,0628,12,flasher,93,56,corner,N,439,NA,15631,32-33,989.0010306,20011,NA,NA,1,2,1,7.4,5.6,0,0,0,0,0,PIT bleed
CK40,CT2019_027,027,0650,0653,18,flasher,56,33,corner,N,440,NA,15631,34-35,989.0010306,20052,NA,NA,0,0,1,11.6,6.1,0,0,0,0,0,
CK41,CT2019_027,027,0707,0710,18,flasher,75,47,corner,N,441,NA,15631,36-37,989.0010306,20041,NA,NA,2,0,0,5.8,3.6,0,0,0,0,0,
CK42,CT2019_029,029,0815,0818,18,flasher,72,41,corner,N,442,NA,15631,38-39,989.0010306,20049,NA,NA,2,0,0,5.5,3.5,0,0,0,0,0,PIT bleed
CK43,CT2019_030,030,0820,0823,14,spoon,70,42,corner,Y,443,NA,15631,40-41,989.0010306,19989,NA,NA,1,0,0,3.4,1.3,0,0,0,0,0,
CK44,CT2019_030,030,0827,0830,18,flasher,67,39,corner,Y,444,NA,15631,42-43,989.0010306,20020,NA,NA,0,0,0,5.6,3.0,0,0,0,0,0,
CK45,CT2019_030,030,0833,0835,16,spoon,77,45,corner,Y,445,NA,15631,44-45,989.0010306,20044,NA,NA,1,2,1,4.5,2.1,0,0,0,0,0,
CK46,CT2019_030,030,0836,0840,18,flasher,71,44,corner,Y,446,CF22,15631,46-47,989.0010306,20016,024,7711,0,0,0,8.2,4.1,0,0,0,0,0,
CK47,CT2019_033,033,1009,1013,18,flasher,71,43,eye,N,447,NA,15631,48-50,989.0010306,19992,NA,NA,3,2,1,7.0,4.5,0,0,0,0,0,lots of lice; missing eye
CK48,CT2019_033,033,1015,1017,18,flasher,63,34,corner,Y,448,NA,15632,1-2,989.0010306,19983,NA,NA,0,2,1,2.0,0.9,0,0,0,0,0,
CK49,CT2019_034,034,1127,1129,20,flasher,56,31,corner,N,449,NA,15632,3-4,989.0010306,19998,NA,NA,0,0,0,1.3,5.6,0,0,0,0,0,
CK50,CT2019_035,035,1136,1141,20,flasher,76,45,corner,Y,450,CF23,15632,5-6,989.0010306,20021,023,7710,0,0,1,5.1,3.7,0,0,0,0,0,tag order swapped with CK46
CK51,CT2019_036,036,1221,1225,14,flasher,82,46,corner,N,451,CF24,15632,7-8,989.0010306,20022,025,7712,0,0,1,3.6,2.4,0,0,0,0,0,
CK52,CT2019_037,037,1249,1252,14,flasher,78,46,eye,Y,452,NA,15632,9-10,989.0010306,19974,NA,NA,0,0,1,5.9,3.9,0,0,0,0,0,
CK53,CT2019_040,040,1422,1424,24,flasher,54,29,corner,Y,453,NA,15632,11-12,989.0010306,19993,NA,NA,0,0,0,1.8,0.7,0,0,0,0,0,
CK54,CT2019_041,041,1458,1502,24,flasher,51,28,corner,Y,454,NA,15632,13-14,989.0010306,20012,NA,NA,0,1,0,1.8,0.8,0,0,0,0,0,
CK55,CT2019_042,042,1503,1509,24,flasher,65,40,corner,Y,455,CF25,15632,15-16,989.0010306,20051,026,7713,0,1,1,6.5,3.5,0,0,0,0,0,RECPATURED (see file)
CK56,CT2019_043,043,1533,1536,24,flasher,64,41,corner,Y,456,NA,15632,17-18,989.0010306,20059,NA,NA,0,1,0,5.7,1.4,0,0,0,0,0,
CK57,CT2019_044,044,1603,1606,22,spoon,69,43,corner,N,457,NA,15632,19-20,989.0010306,19962,NA,NA,2,1,0,5.8,2.6,0,0,0,0,0,
CK58,CT2019_046,046,0749,0751,30,flasher,60,35,corner,N,458,NA,15632,21-22,989.0010306,19977,NA,NA,0,0,0,1.0,1.6,0,0,0,0,0,
CK59,CT2019_047,047,0804,0806,30,flasher,54,30,corner,Y,459,NA,15632,23-24,989.0010306,20010,NA,NA,0,2,0,0.9,1.0,0,0,0,0,0,
CK60,CT2019_047,047,0810,0813,26,flasher,59,31,corner,Y,460,NA,15632,25-26,989.0010306,19965,NA,NA,0,0,0,3.0,2.1,0,0,0,0,0,
CK61,CT2019_047,047,0827,0829,22,flasher,60,34,eye,N,461,NA,15632,27-28,989.0010306,20006,NA,NA,1,0,0,3.4,0.9,0,0,0,0,0,
CK62,CT2019_047,047,0830,0834,26,spoon,75,46,corner,Y,462,CF26,15632,20-30,989.0010306,19978,027,7714,0,0,0,8.5,4.2,0,0,0,0,0,
CK63,CT2019_048,048,0839,0841,18,spoon,62,35,corner,N,463,NA,15632,31-32,989.0010306,19973,NA,NA,0,1,0,2.0,1.6,0,0,0,0,0,
CK64,CT2019_048,048,0842,0845,30,flasher,58,34,corner,N,464,NA,15632,33-34,989.0010306,20017,NA,NA,0,0,0,3.6,1.4,0,0,0,0,0,
CK65,CT2019_048,048,0847,0851,10,spoon,77,45,corner,N,465,CF27,15632,35-36,989.0010306,19968,028,7715,0,0,0,5.6,3.1,0,0,0,0,0,RECPATURED (see file)
CK66,CT2019_048,048,0849,0854,18,spoon,79,42,corner,N,466,CF28,15632,37-39,989.0010306,19997,029,7716,1,0,0,1.6,1.5,0,0,0,0,0,
CK67,CT2019_048,048,0901,0906,22,flasher,69,42,corner,Y,467,CF29,15632,40-41,989.0010306,20043,030,7717,0,0,0,6.4,4.1,0,0,0,0,0,
CK68,CT2019_049,049,0912,0914,22,flasher,61,35,corner,N,468,NA,15632,42-43,989.0010306,20033,NA,NA,0,0,0,2.9,1.7,0,0,0,0,0,
CK69,CT2019_049,049,0915,0919,26,flasher,81,50,corner,Y,469,CF30,15632,44-45,989.0010306,20003,031,7718,0,0,1,6.4,4.2,0,0,0,0,0,
CK70,CT2019_049,049,0921,0927,14,flasher,68,42,corner,N,470,NA,15632,46-47,989.0010306,19984,NA,NA,2,0,0,10.9,6.1,0,0,0,0,0,
CK71,CT2019_050,050,1000,1001,30,flasher,87,49,snout,N,471,NA,15632,48-50,989.0010306,20055,NA,NA,2,1,0,7.5,5.6,0,0,0,0,0,heavy bleeding from gill
CK72,CT2019_051,051,1023,1027,28,spoon,83,50,snout,N,472,CF31,15633,1-2,989.0010306,20038,032,7719,0,0,2,9.2,5.6,0,0,0,0,0,
CK73,CT2019_052,052,1040,1044,22,spoon,76,48,corner,N,473,CF32,15633,3-4,989.0010306,20001,033,7720,0,0,1,8.0,5.5,0,0,0,0,0,
CK74,CT2019_052,052,1054,1056,34,flasher,74,44,corner,Y,474,NA,15633,5-6,989.0010306,20053,NA,NA,0,2,1,6.1,3.5,0,0,0,0,0,
CK75,CT2019_052,052,1101,1106,22,spoon,84,51,corner,N,475,CF33,15633,7-8,989.0010306,19961,034,7721,1,1,1,7.2,4.6,0,0,0,0,0,
CK76,CT2019_053,053,1110,1113,30,spoon,61,33,snout,N,476,NA,15633,9-10,989.0010306,20000,NA,NA,0,1,0,2.7,0.8,0,0,0,0,0,
CK77,CT2019_053,053,1118,1123,30,spoon,88,55,snout,N,477,CF34,15633,11-12,989.0010306,19990,035,7722,0,0,1,7.1,4.1,0,0,0,0,0,
CK78,CT2019_054,054,1137,1139,30,spoon,81,46,eye,N,478,NA,15633,13-14,989.0010306,19988,NA,NA,2,0,0,6.0,5.0,0,0,0,0,0,eye wound
CK79,CT2019_054,054,1147,1152,30,spoon,68,39,snout,N,479,CF35,15633,15-16,989.0010306,19979,036,7723,0,1,0,3.9,2.9,0,0,0,0,0,
CK80,CT2019_055,055,1302,1307,34,flasher,85,53,corner,N,480,CF36,15633,17-18,989.0010306,20057,037,7724,0,0,0,10.7,6.1,0,0,0,0,0,eye wound and moderate bleed
CK81,CT2019_055,055,1309,1312,34,flasher,78,49,eye,Y,481,NA,15633,19-20,989.0010306,19987,NA,NA,2,0,2,6.0,7.3,0,0,0,0,0,
CK82,CT2019_057,057,1336,1340,36,flasher,81,48,corner,N,482,CF37,15633,21-22,989.0010306,20009,038,7725,0,1,1,6.2,5.7,0,0,0,0,0,
CK83,CT2019_058,058,1407,1410,34,spoon,82,44,eye,N,483,NA,15633,23,989.0010306,19999,NA,NA,2,0,1,4.7,3.5,0,0,0,0,0,eye wound
CK84,CT2019_059,059,1457,1501,28,flasher,88,51,corner,Y,484,NA,15633,24-25,989.0010306,20032,NA,NA,2,1,2,5.7,3.7,0,0,0,0,0,heavy bleeding
CK85,CT2019_060,060,1513,1518,16,spoon,79,44,corner,N,485,CF38,15633,26-27,989.0010306,19963,039,7726,0,2,1,7.2,4.6,0,0,0,0,0,RECAPTURED (see file)
CK86,CT2019_061,061,0725,0728,18,flasher,78,43,foul,Y,486,NA,15633,28-29,989.0010306,19967,NA,NA,2,0,1,2.1,1.4,0,0,0,0,0,
CK87,CT2019_062,062,0734,0738,18,flasher,70,41,corner,Y,487,NA,15633,30,989.0010306,20030,NA,NA,1,1,0,4.3,2.5,0,0,0,0,0,
CK88,CT2019_062,062,0738,0741,18,flasher,67,39,corner,Y,488,NA,15633,31-32,989.0010306,20015,NA,NA,0,0,0,9.3,6.4,0,0,0,0,0,
CK89,CT2019_062,062,0744,0747,18,flasher,79,47,corner,Y,489,NA,15633,33-34,989.0010306,20034,NA,NA,2,1,0,7.6,4.4,0,0,0,0,0,heavy bleeding
CK90,CT2019_063,063,0817,0822,18,flasher,80,46,corner,N,490,CF39,15633,NA,989.0010306,19971,040,7727,0,0,1,6.1,4.3,0,0,0,0,0,too wet to take scales
CK91,CT2019_064,064,0901,0905,14,flasher,82,50,eye,Y,491,CF40,15633,NA,989.0010306,20008,041,7728,1,1,1,6.3,5.8,0,0,0,0,0,too wet to take scales
CK92,CT2019_067,067,1030,1034,18,flasher,77,48,snout,Y,492,NA,15633,35-36,989.0010306,19966,NA,NA,2,0,1,7.6,4.5,0,0,0,0,0,heavy bleeding
CK93,CT2019_068,068,1052,1054,18,flasher,60,36,corner,Y,493,NA,15633,NA,989.0010306,20026,NA,NA,0,0,0,3.6,2.0,0,0,0,0,0,too wet to take scales
CK94,CT2019_069,069,1123,1127,18,flasher,78,42,snout,N,494,CF41,15633,NA,989.0010306,20031,042,7729,0,0,1,5.4,4.2,0,0,0,0,0,too wet to take scales
CK95,CT2019_074,074,1400,1403,16,spoon,65,36,corner,Y,495,NA,15633,37-38,989.0010306,19975,NA,NA,0,0,0,4.1,2.5,0,0,0,0,0,
CK96,CT2019_074,074,1404,1406,18,flasher,63,33,corner,Y,496,NA,15633,39-40,989.0010306,20014,NA,NA,0,0,0,1.4,1.0,0,0,0,0,0,
CK97,CT2019_075,075,1410,1414,18,flasher,67,40,corner,Y,497,CF42,15633,41-42,989.0010306,20039,043,7730,1,0,1,6.1,4.4,0,0,0,0,0,RECAPTURED (see file)
CK98,CT2019_076,076,1443,1446,10,flasher,71,40,eye,Y,498,NA,15633,43-44,989.0010306,20060,NA,NA,3,0,0,6.7,5.2,0,0,0,0,0,
CK99,CT2019_076,076,1455,1459,16,spoon,70,40,snout,N,499,CF43,15633,45-46,989.0010306,20019,044,7731,1,0,0,10.2,5.9,0,0,0,0,0,
CK100,CT2019_077,077,1517,1520,16,spoon,69,37,snout,N,500,NA,15633,47-48,989.0010306,19970,NA,NA,1,1,0,4.1,2.3,0,0,0,0,0,
CK101,CT2019_078,078,0640,0645,24,flasher,73,41,corner,N,501,CF44,15634,1-2,989.0010306,20062,045,7732,0,0,1,6.9,4.3,0,0,0,0,0,
CK102,CT2019_079,079,0707,0710,14,spoon,66,34,corner,Y,502,NA,15634,3-4,989.0010306,20088,NA,NA,0,1,0,3.0,2.7,0,0,0,0,0,
CK103,CT2019_079,079,0715,0718,24,flasher,62,33,corner,N,503,NA,15634,5-6,989.0010306,20117,NA,NA,0,1,2,1.8,1.8,0,0,0,0,0,
CK104,CT2019_082,082,0851,0855,16,spoon,68,39,corner/foul,Y,504,NA,15634,7-8,989.0010306,20145,NA,NA,2,0,1,10.4,7.2,0,0,0,0,0,blood from gills
CK105,CT2019_084,084,0940,0944,26,flasher,71,39,corner,Y,505,NA,15634,9-10,989.0010306,20153,NA,NA,2,0,0,5.6,3.2,0,0,0,0,1,distended eye
CK106,CT2019_088,088,1146,1149,24,flasher,56,30,corner,Y,506,NA,15634,11-12,989.0010306,20140,NA,NA,0,0,0,1.3,0.8,0,0,0,0,0,
CK107,CT2019_092,092,1337,1340,22,spoon,61,32,corner,N,507,NA,15634,13-14,989.0010306,20144,NA,NA,0,0,0,4.2,2.0,0,0,0,0,0,
CK108,CT2019_096,096,NA,NA,16,flasher,36,21,corner,Y,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,landed dead
CK109,CT2019_099,099,0811,0814,18,spoon,61,33,corner,N,509,NA,15634,15-16,989.0010306,20113,NA,NA,1,0,0,2.8,1.7,0,0,0,0,0,
CK110,CT2019_099,099,0822,0825,26,spoon,57,31,corner,N,510,NA,15634,17-18,989.0010306,20141,NA,NA,0,1,0,3.1,1.8,0,0,0,0,0,
CK111,CT2019_099,099,0826,0831,30,spoon,74,46,corner,Y,511,CF45,15634,19-20,989.0010306,20098,046,7733,0,0,1,8.8,5.7,0,0,0,0,0,
CK112,CT2019_100,100,0843,0846,26,flasher,60,32,eye,Y,512,NA,15634,21-22,989.0010306,20157,NA,NA,2,0,0,3.1,2.3,0,0,0,0,0,
CK113,CT2019_100,100,0847,0853,30,spoon,81,47,corner,Y,513,CF46,15634,23-24,989.0010306,20096,047,7734,0,0,0,7.2,4.2,0,0,0,0,0,MAGNET NOT REMOVED
CK114,CT2019_100,100,0858,0902,26,flasher,65,39,corner,Y,514,CF47,15634,25-26,989.0010306,20129,048,7735,1,1,1,6.1,2.5,0,0,0,0,0,
CK115,CT2019_100,100,0902,0906,30,spoon,78,50,corner,N,515,CF48,15634,27-29,989.0010306,20126,049,7736,0,0,0,8.8,5.9,0,0,0,0,0,
CK116,CT2019_100,100,0907,0912,32,flasher,70,38,corner,Y,516,CF49,15634,30-32,989.0010306,20104,050,7737,1,0,0,6.1,5.1,0,0,0,0,0,lots of lice
CK117,CT2019_100,100,0915,0917,32,flasher,78,47,eye,N,517,NA,15634,33-34,989.0010306,20112,NA,NA,2,0,0,11.4,8.5,0,0,0,0,0,bad eye wound
CK118,CT2019_101,101,0926,0931,28,flasher,79,47,corner,Y,518,CF50,15634,35-36,989.0010306,20135,051,7738,1,0,0,8.5,5.1,0,0,0,0,0,RECAPTURED (see file)
CK119,CT2019_102,102,0953,0956,32,flasher,55,30,corner,N,519,NA,15634,37-38,989.0010306,20107,NA,NA,0,0,0,3.5,2.1,0,0,0,0,0,
CK120,CT2019_103,103,1025,1030,26,flasher,64,36,corner,N,520,CF51,15634,39-40,989.0010306,20076,052,7910,0,0,1,5.2,3.3,0,0,0,0,0,
CK121,CT2019_103,103,1041,1045,28,flasher,82,48,corner,Y,521,NA,15634,41-42,989.0010306,20127,NA,NA,3,0,0,5.1,3.0,0,0,0,0,0,lots of fungus
CK122,CT2019_104,104,1051,1055,28,flasher,75,43,corner,N,522,CF52,15634,43-44,989.0010306,20125,053,7911,0,0,0,7.3,5.0,0,0,0,0,0,
CK123,CT2019_104,104,1107,1111,22,flasher,84,51,snout,N,523,CF53,15634,45-46,989.0010306,20101,054,7912,0,0,1,6.2,3.6,0,0,0,0,0,big lamprey wound and jaw bleed
CK124,CT2019_105,105,1124,1127,16,flasher,86,51,corner,Y,524,NA,15634,47-48,989.0010306,20085,NA,NA,3,0,1,6.3,4.1,0,1,0,1,1,gill hooked
CK125,CT2019_105,105,1130,1133,36,flasher,74,43,gill,N,525,NA,00114,1-3,989.0010306,20130,NA,NA,1,0,1,6.9,5.6,0,0,0,0,0,
CK126,CT2019_106,106,1156,1201,36,flasher,71,36,corner,Y,526,CF54,00114,4-5,989.0010306,20136,055,7913,0,0,0,6.3,4.0,0,0,0,0,0,
CK127,CT2019_107,107,1204,1209,36,flasher,79,44,corner,Y,527,CF55,00114,6-8,989.0010306,20092,056,7914,1,0,0,6.8,4.2,0,0,0,0,0,
CK128,CT2019_107,107,1215,1220,30,spoon,83,48,corner,Y,528,CF56,00114,9-10,989.0010306,20087,057,7915,0,0,1,6.7,4.8,0,0,0,0,0,eye wound
CK129,CT2019_107,107,1225,1228,28,spoon,76,45,corner,N,529,NA,00114,11-12,989.0010306,20106,NA,NA,3,0,1,9.2,6.5,0,0,0,0,0,
CK130,CT2019_108,108,1240,1244,28,flasher,82,46,snout,N,530,CF57,00114,13-14,989.0010306,20133,058,7916,0,0,1,6.1,3.6,0,0,0,0,0,
CK131,CT2019_108,108,1244,1248,30,spoon,75,45,corner,N,531,CF58,00114,15-17,989.0010306,20158,059,7917,0,0,1,5.9,4.7,0,0,0,0,0,
CK132,CT2019_108,108,1250,1254,30,flasher,81,48,corner,N,532,CF59,00114,18-20,989.0010306,20159,060,7918,0,0,0,6.2,4.8,0,0,0,0,0,
CK133,CT2019_108,108,1254,1258,32,spoon,77,43,corner,N,533,CF60,00114,21-22,989.0010306,20080,061,7919,0,0,0,6.1,4.6,0,0,0,0,0,
CK134,CT2019_110,110,1344,1348,36,flasher,86,48,corner,N,534,CF61,00114,23-25,989.0010306,20155,062,7920,0,0,0,8.5,6.4,0,0,0,0,0,
CK135,CT2019_110,110,1406,1410,28,flasher,80,48,corner,N,535,CF62,00114,26-27,989.0010306,20132,063,7921,0,0,1,6.6,5.7,0,0,0,0,0,
CK136,CT2019_110,110,1411,1415,32,spoon,85,49,corner,N,536,CF63,00114,28-29,989.0010306,20139,064,7922,0,0,1,6.2,4.6,0,0,0,0,0,
CK137,CT2019_111,111,1439,1442,28,flasher,83,47,corner,Y,537,NA,00114,30-31,989.0010306,20150,NA,NA,1,0,1,6.7,4.5,0,0,0,0,0,
CK138,CT2019_111,111,1442,1446,32,spoon,83,54,corner,N,538,CF64,00114,32-34,989.0010306,20114,065,7923,0,0,1,6.4,5.1,0,0,0,0,0,
CK139,CT2019_111,111,1446,1449,36,flasher,79,48,corner,Y,539,NA,00114,35-37,989.0010306,20071,NA,NA,0,0,0,4.0,2.4,0,0,0,0,0,
CK140,CT2019_112,112,1501,1504,36,flasher,72,43,corner,Y,540,NA,00114,38-39,989.0010306,20094,NA,NA,0,1,1,3.7,1.9,0,0,0,0,0,
CK141,CT2019_113,113,1543,1546,24,flasher,63,34,corner,N,541,NA,00114,40-41,989.0010306,20082,NA,NA,0,0,0,4.5,2.7,0,0,0,0,0,
CK142,CT2019_113,113,1546,1549,28,flasher,75,45,corner,Y,542,NA,00114,42-43,989.0010306,20120,NA,NA,0,0,0,7.1,5.5,0,0,0,0,0,
CK143,CT2019_113,113,1550,1552,36,flasher,66,36,corner,N,543,NA,00114,44-45,989.0010306,20074,NA,NA,0,0,0,4.7,2.4,0,0,0,0,0,
CK144,CT2019_115,115,1626,1629,30,spoon,76,45,corner,N,544,CF65,00114,46-47,989.0010306,20066,066,7924,0,0,0,7.8,5.9,0,0,0,0,0,
CK145,CT2019_115,115,1635,1638,36,flasher,79,47,eye,Y,545,NA,00114,48-49,989.0010306,20079,NA,NA,2,0,0,5.9,2.9,0,0,0,0,0,
CK146,CT2019_115,115,1641,1643,20,flasher,52,27,corner,Y,546,NA,NA,NA,989.0010306,20068,NA,NA,0,1,0,1.7,1.5,0,0,0,0,0,
CK147,CT2019_116,116,1658,1702,28,spoon,73,43,corner,Y,547,CF66,00117,1-2,989.0010306,20109,067,7925,0,0,0,6.1,3.9,0,0,0,0,0,yellow polymer tag
CK148,CT2019_116,116,1707,1709,24,flasher,64,39,snout,Y,548,NA,00117,3-4,989.0010306,20064,NA,NA,0,0,0,6.3,5.3,0,0,0,0,0,
CK149,CT2019_117,117,1718,1723,20,spoon,78,47,corner,N,549,NA,00117,5-6,989.0010306,20147,NA,NA,0,0,1,4.9,3.4,0,0,0,0,0,
CK150,CT2019_117,117,1721,1726,32,flasher,78,47,corner,N,550,CF67,00117,7-9,989.0010306,20149,068,7926,0,0,1,6.2,5.1,0,0,0,0,0,
CK151,CT2019_117,117,1727,1730,32,flasher,68,37,corner,Y,551,NA,00117,11-2,989.0010306,20091,NA,NA,0,0,0,3.2,1.8,0,0,0,0,0,
CK152,CT2019_117,117,1737,1739,32,flasher,61,31,corner,N,552,NA,00117,13-14,989.0010306,20148,NA,NA,0,0,0,1.2,0.8,0,0,0,0,0,
CK153,CT2019_117,117,1743,1746,32,flasher,52,28,corner,Y,553,NA,00117,15-16,989.0010306,20083,NA,NA,0,0,0,1.4,0.7,0,0,0,0,0,
CK154,CT2019_118,118,0606,0609,16,flasher,71,42,corner,Y,554,NA,00117,17-18,989.0010306,20134,NA,NA,0,0,0,13.4,6.8,0,0,0,0,0,
CK155,CT2019_118,118,0617,0620,16,flasher,70,42,corner,Y,555,NA,00117,19-20,989.0010306,20142,NA,NA,0,0,0,5.7,2.3,0,0,0,0,0,
