event,set,species,count
CT2019_132,132,chinook,3
CT2019_132,132,coho,3
CT2019_132,132,sockeye,1
CT2019_132,132,pink,5
CT2019_133,133,chinook,2
CT2019_133,133,coho,5
CT2019_134,134,coho,1
CT2019_134,134,lingcod,5
CT2019_134,134,canary rockfish,1
CT2019_135,135,halibut,1
CT2019_135,135,coho,1
CT2019_136,136,lingcod,1
CT2019_136,136,canary rockfish,1
CT2019_136,136,coho,1
CT2019_137,137,yellowtail rockfish,2
CT2019_137,137,coho,1
CT2019_138,138,coho,1
CT2019_139,139,coho,3
CT2019_140,140,chinook,1
CT2019_141,141,coho,1
CT2019_142,142,pink,1
CT2019_144,144,coho,1
CT2019_145,145,coho,2
CT2019_146,146,coho,2
CT2019_147,147,coho,5
CT2019_147,147,pink,1
CT2019_148,148,pink,1
CT2019_148,148,coho,5
CT2019_149,149,coho,7
CT2019_149,149,pink,1
CT2019_149,149,chinook,2
CT2019_150,150,coho,6
CT2019_150,150,pink,1
CT2019_150,150,chinook,1
CT2019_151,151,coho,1
CT2019_152,152,chinook,1
CT2019_152,152,pink,1
CT2019_153,153,pink,1
CT2019_153,153,coho,1
CT2019_153,153,ling cod,1
CT2019_153,153,sanddab,1
CT2019_154,154,coho,1
CT2019_155,155,coho,1
CT2019_156,156,pink,1
CT2019_158,158,chinook,1
CT2019_158,158,lingcod,1
CT2019_158,158,coho,2
CT2019_159,159,coho,5
CT2019_159,159,pink,2
CT2019_160,160,coho,3
CT2019_161,161,chinook,1
CT2019_161,161,coho,4
CT2019_162,162,coho,3
CT2019_163,163,coho,5
CT2019_164,164,coho,3
CT2019_166,166,pink,1
CT2019_167,167,coho,1
CT2019_168,168,coho,2
CT2019_170,170,chinook,2
CT2019_170,170,coho,2
CT2019_171,171,chinook,1
CT2019_171,171,coho,1
CT2019_172,172,coho,1
CT2019_173,173,chinook,1
CT2019_173,173,pink,3
CT2019_173,173,coho,2
CT2019_174,174,chinook,2
CT2019_174,174,coho,2
CT2019_175,175,chinook,1
CT2019_175,175,coho,7
CT2019_176,176,chinook,1
CT2019_176,176,coho,5
CT2019_177,177,coho,3
CT2019_178,178,chinook,2
CT2019_178,178,coho,9
CT2019_179,179,chinook,1
CT2019_180,180,coho,8
CT2019_182,182,coho,5
CT2019_183,183,chinook,1
CT2019_183,183,coho,3
CT2019_184,184,coho,1
CT2019_185,185,chinook,1
CT2019_185,185,coho,7
CT2019_186,186,chinook,2
CT2019_186,186,pink,2
CT2019_187,187,coho,8
CT2019_187,187,skipjack(?),1
CT2019_187,187,chinook,7
CT2019_188,188,coho,11
CT2019_188,188,chinook,2
CT2019_189,189,chinook,1
CT2019_189,189,coho,3
CT2019_190,190,coho,3
CT2019_190,190,canary rockfish,1
CT2019_191,191,chinook,1
CT2019_191,191,coho,3
CT2019_192,192,coho,8
CT2019_193,193,chinook,2
CT2019_193,193,coho,7
CT2019_194,194,chinook,3
CT2019_194,194,coho,4
CT2019_195,195,chinook,2
CT2019_195,195,coho,5
CT2019_196,196,chinook,1
CT2019_196,196,coho,3
CT2019_197,197,chinook,1
CT2019_197,197,coho,4
CT2019_198,198,coho,7
CT2019_199,199,chinook,3
CT2019_199,199,coho,5
CT2019_200,200,coho,9
CT2019_200,200,yelowtail rockfish,2
CT2019_201,201,coho,9
CT2019_202,202,chinook,1
CT2019_202,202,coho,3
CT2019_203,203,coho,5
CT2019_204,204,chinook,2
CT2019_204,204,coho,9
CT2019_204,204,skipjack(?),1
CT2019_206,206,coho,2
CT2019_207,207,coho,4
CT2019_208,208,chinook,3
CT2019_208,208,coho,3
CT2019_208,208,canary rockfish,1
CT2019_209,209,chinook,2
CT2019_209,209,coho,4
CT2019_210,210,chinook,1
CT2019_210,210,coho,7
CT2019_211,211,chinook,1
CT2019_211,211,coho,3
CT2019_212,212,chinook,1
CT2019_212,212,coho,1
CT2019_213,213,chinook,1
CT2019_213,213,coho,4
CT2019_214,214,chinook,2
CT2019_214,214,coho,5
CT2019_215,215,chinook,3
CT2019_215,215,coho,9
CT2019_216,216,coho,1
CT2019_216,216,chinook,4
CT2019_217,217,coho,2
CT2019_218,218,coho,6
CT2019_219,219,coho,1
CT2019_220,220,chinook,1

