event,set,date,latDegreeStart,latMinuteStart,longDegreeStart,longMinuteStart,latDegreeEnd,latMinuteEnd,longDegreeEnd,longMinuteEnd,time,lines,depthBow,depthStern,predators,gear,chinookTagged,seaState,light,notes
CT2019_055,055,16/7/2019,48,31.472,125,50.942,48,31.475,125,52.958,1230,2,34,NA,N,spoons and flashers,Y,0,sunny,
CT2019_056,056,16/7/2019,48,31.475,125,52.958,48,31.620,125,54.610,1300,2,36,NA,N,spoons and flashers,N,0,sunny,
CT2019_057,057,16/7/2019,48,31.620,125,54.610,48,32.377,125,52.979,1330,2,36,NA,shark,spoons and flashers,Y,0,sunny,
CT2019_058,058,16/7/2019,48,32.377,125,52.979,48,33.083,125,51.685,1400,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_059,059,16/7/2019,48,33.083,125,51.685,48,34.078,125,49.589,1430,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_060,060,16/7/2019,48,34.078,125,49.589,48,34.737,125,47.918,1500,2,36,NA,N,spoons and flashers,Y,0,sunny,STOP at 1530 and 48 34.737 125 47.918
CT2019_061,061,17/7/2019,48,54.860,125,32.732,48,55.963,125,34.806,0700,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_062,062,17/7/2019,48,55.963,125,34.806,48,56.131,125,35.198,0730,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_063,063,17/7/2019,48,56.131,125,35.198,48,55.241,125,33.632,0800,2,18,NA,N,spoons and flashers,Y,1.5,overcast,
CT2019_064,064,17/7/2019,48,55.241,125,33.632,48,55.625,125,34.371,0830,2,18,NA,N,spoons and flashers,Y,1.5,rain,
CT2019_065,065,17/7/2019,48,55.625,125,34.371,48,56.430,125,36.157,0900,2,18,NA,N,spoons and flashers,N,2,overcast,
CT2019_066,066,17/7/2019,48,56.430,125,36.157,48,55.867,125,34.713,0930,2,18,NA,N,spoons and flashers,N,2,overcast,
CT2019_067,067,17/7/2019,48,55.867,125,34.713,48,54.848,125,32.690,1000,2,18,NA,N,spoons and flashers,N,2,overcast,
CT2019_068,068,17/7/2019,48,54.848,125,32.690,48,55.213,125,33.633,1030,2,18,NA,N,spoons and flashers,Y,2,rain,
CT2019_069,069,17/7/2019,48,55.213,125,33.633,48,56.097,125,35.120,1100,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_070,070,17/7/2019,48,56.097,125,35.120,48,55.999,125,35.092,1130,2,18,NA,N,spoons and flashers,N,1,overcast,
CT2019_071,071,17/7/2019,48,55.999,125,35.092,48,55.169,125,33.420,1200,2,18,NA,killer whale,spoons and flashers,Y,0.5,overcast,6-12 pod of killer whales near boat
CT2019_072,072,17/7/2019,48,55.169,125,33.420,48,54.016,125,32.364,1230,2,18,NA,N,spoons and flashers,N,0.5,overcast,
CT2019_073,073,17/7/2019,48,54.016,125,32.364,48,53.710,125,31.530,1300,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_074,074,17/7/2019,48,53.710,125,31.530,48,52.806,125,29.994,1330,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_075,075,17/7/2019,48,52.806,125,29.994,48,51.536,125,28.436,1400,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_076,076,17/7/2019,48,51.536,125,28.436,48,52.499,125,29.150,1430,2,18,NA,sea lion,spoons and flashers,Y,1,overcast,"on rocks, not foraging in area"
CT2019_077,077,17/7/2019,48,52.499,125,29.150,48,53.349,125,30.380,1500,2,18,NA,N,spoons and flashers,Y,1,overcast,STOP at 1530 and 48 53.349 125 30.380
CT2019_078,078,23/7/2019,48,52.053,125,32.392,48,50.084,125,32.542,0620,2,24,NA,N,spoons and flashers,Y,0.5,cloudy,
CT2019_079,079,23/7/2019,48,50.084,125,32.542,48,49.373,125,34.168,0700,2,24,NA,N,spoons and flashers,Y,1,cloudy,
CT2019_080,080,23/7/2019,48,49.373,125,34.168,48,48.810,125,36.053,0730,2,24,NA,N,spoons and flashers,N,1,cloudy,
CT2019_081,081,23/7/2019,48,48.810,125,36.053,48,48.294,125,37.995,0800,2,24,NA,N,spoons and flashers,N,1,cloudy,
CT2019_082,082,23/7/2019,48,48.294,125,37.995,48,47.838,125,40.160,0830,2,24,NA,N,spoons and flashers,Y,1,cloudy,
CT2019_083,083,23/7/2019,48,47.838,125,40.160,48,48.088,125,42.170,0900,2,24,NA,N,spoons and flashers,N,1,cloudy,
CT2019_084,084,23/7/2019,48,48.088,125,42.170,48,48.345,125,44.229,0930,2,26,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_085,085,23/7/2019,48,48.345,125,44.229,48,48.598,125,46.210,1000,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_086,086,23/7/2019,48,48.598,125,46.210,48,49.244,125,45.466,1030,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_087,087,23/7/2019,48,49.244,125,45.466,48,49.918,125,49.742,1100,2,26,NA,N,spoons and flashers,N,0.5,sunny,CHECK START LAT/LONG
CT2019_088,088,23/7/2019,48,49.918,125,49.742,48,50.893,125,51.596,1130,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_089,089,23/7/2019,48,50.893,125,51.596,48,50.979,125,49.638,1200,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_090,090,23/7/2019,48,50.979,125,49.638,48,51.127,125,47.787,1230,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_091,091,23/7/2019,48,51.127,125,47.787,48,51.520,125,45.424,1300,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_092,092,23/7/2019,48,51.520,125,45.424,48,52.004,125,43.630,1330,2,26,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_093,093,23/7/2019,48,52.004,125,43.630,48,52.594,125,41.683,1400,2,20,NA,N,spoons and flashers,N,0.25,sunny,
CT2019_094,094,23/7/2019,48,52.594,125,41.683,48,53.302,125,39.537,1430,2,20,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_095,095,23/7/2019,48,53.302,125,39.537,48,53.870,125,37.600,1500,2,20,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_096,096,23/7/2019,48,53.870,125,37.600,48,54.417,125,35.919,1530,2,20,NA,N,spoons and flashers,N,0,sunny,
CT2019_097,097,23/7/2019,48,54.417,125,35.919,48,54.764,125,33.518,1600,2,18,NA,N,spoons and flashers,N,0.25,sunny,
CT2019_098,098,23/7/2019,48,54.764,125,33.518,48,55.087,125,33.236,1630,2,18,NA,N,spoons and flashers,N,0.25,sunny,STOP at 1700 and 48 55.087 125 33.236
CT2019_099,099,24/7/2019,48,38.185,125,38.234,48,36.382,125,39.140,0750,2,30,NA,N,spoons and flashers,Y,0,sunny,
CT2019_100,100,24/7/2019,48,36.382,125,39.140,48,34.821,125,40.377,0830,2,30,NA,N,spoons and flashers,Y,0,sunny,
CT2019_101,101,24/7/2019,48,34.821,125,40.377,48,33.609,125,42.368,0915,2,32,NA,N,spoons and flashers,Y,0,sunny,
CT2019_102,102,24/7/2019,48,33.609,125,42.368,48,33.085,125,43.436,0945,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_103,103,24/7/2019,48,33.085,125,43.436,48,32.400,125,45.416,1015,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_104,104,24/7/2019,48,32.400,125,45.416,48,32.094,125,47.491,1045,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_105,105,24/7/2019,48,32.094,125,47.491,48,31.792,125,49.489,1115,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_106,106,24/7/2019,48,31.792,125,49.489,48,31.646,125,50.545,1145,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_107,107,24/7/2019,48,31.646,125,50.545,48,31.083,125,51.991,1200,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_108,108,24/7/2019,48,31.083,125,51.991,48,30.396,125,53.521,1230,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_109,109,24/7/2019,48,30.396,125,53.521,48,30.273,125,53.544,1300,2,36,NA,N,spoons and flashers,N,0,sunny,STOP at 1305 and 48 30.273 125 53.544
CT2019_110,110,24/7/2019,48,30.561,125,52.352,48,30.947,125,50.125,1345,2,36,NA,N,spoons and flashers,Y,0,cloudy,check start coords
CT2019_111,111,24/7/2019,48,30.947,125,50.125,48,31.333,125,47.813,1415,2,36,NA,N,spoons and flashers,Y,0,cloudy,check start long
CT2019_112,112,24/7/2019,48,31.333,125,47.813,48,31.753,125,46.437,1445,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_113,113,24/7/2019,48,31.753,125,46.437,48,32.635,125,43.769,1515,2,36,NA,N,spoons and flashers,Y,0,sunny,check start long
CT2019_114,114,24/7/2019,48,32.635,125,43.769,48,33.322,125,42.355,1545,2,34,NA,N,spoons and flashers,N,0,sunny,
CT2019_115,115,24/7/2019,48,33.322,125,42.355,48,34.184,125,40.511,1615,2,34,NA,N,spoons and flashers,Y,0,sunny,
CT2019_116,116,24/7/2019,48,34.184,125,40.511,48,34.987,125,39.845,1645,2,34,NA,N,spoons and flashers,Y,0,sunny,check start coords
CT2019_117,117,24/7/2019,48,34.987,125,39.845,48,35.928,125,41.147,1715,2,32,NA,N,spoons and flashers,Y,0,sunny,STOP at 1745 and 48 35.928 125 41.147
CT2019_118,118,25/7/2019,48,35.863,125,41.291,48,34.852,125,41.090,0600,2,32,NA,N,spoons and flashers,Y,0,overcast,
CT2019_119,119,25/7/2019,48,34.852,125,41.090,48,34.947,125,40.954,0630,2,32,NA,N,spoons and flashers,Y,0,overcast,
CT2019_120,120,25/7/2019,48,34.947,125,40.954,48,35.956,125,43.307,0700,2,32,NA,N,spoons and flashers,Y,0,overcast,
CT2019_121,121,25/7/2019,48,35.956,125,43.307,48,36.785,125,45.255,0730,2,32,NA,N,spoons and flashers,N,0,overcast,
CT2019_122,122,25/7/2019,48,36.785,125,45.255,48,37.275,125,46.750,0800,2,32,NA,N,spoons and flashers,Y,0.25,overcast,
CT2019_123,123,25/7/2019,48,37.275,125,46.750,48,37.749,125,49.015,0830,2,32,NA,N,spoons and flashers,Y,0.25,overcast,
CT2019_124,124,25/7/2019,48,37.749,125,49.015,48,38.098,125,50.807,0900,2,32,NA,N,spoons and flashers,Y,0.25,rain,
CT2019_125,125,25/7/2019,48,38.098,125,50.807,48,39.319,125,51.379,0930,2,32,NA,N,spoons and flashers,Y,0.25,overcast,
CT2019_126,126,25/7/2019,48,39.319,125,51.379,48,39.653,125,53.014,1000,2,34,NA,N,spoons and flashers,Y,0.5,overcast,
CT2019_127,127,25/7/2019,48,39.653,125,53.014,48,39.935,125,54.927,1030,2,34,NA,N,spoons and flashers,N,0.5,rain,
CT2019_128,128,25/7/2019,48,39.935,125,54.927,48,40.293,125,56.262,1100,2,34,NA,N,spoons and flashers,N,0.5,rain,
CT2019_129,129,25/7/2019,48,40.293,125,56.262,48,41.346,125,55.084,1130,2,34,NA,N,spoons and flashers,Y,0.5,rain,
CT2019_130,130,25/7/2019,48,41.346,125,55.084,48,42.381,125,53.625,1200,2,32,NA,N,spoons and flashers,Y,0.5,rain,
CT2019_131,131,25/7/2019,48,42.381,125,53.625,48,43.434,125,52.351,1230,2,32,NA,N,spoons and flashers,Y,0.5,overcast,
CT2019_132,132,25/7/2019,48,43.434,125,52.351,48,44.529,125,51.116,1300,2,32,NA,N,spoons and flashers,N,0.5,overcast,
CT2019_133,133,25/7/2019,48,44.529,125,51.116,48,45.541,125,49.492,1330,2,32,NA,N,spoons,Y,0.5,overcast,STOP at 1400 and 48 45.541 125 49.492
CT2019_134,134,14/8/2019,48,50.270,125,46.764,48,49.942,125,48.919,0725,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_135,135,14/8/2019,48,49.942,125,48.919,48,49.710,125,51.364,0800,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_136,136,14/8/2019,48,49.710,125,51.364,48,49.562,125,50.676,0830,2,28,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_137,137,14/8/2019,48,49.562,125,50.676,48,49.227,125,55.111,0900,2,28,NA,N,spoons and flashers,N,0.25,cloudy,CHECK START LONG
CT2019_138,138,14/8/2019,48,49.227,125,55.111,48,48.920,125,57.369,0930,2,28,NA,N,spoons and flashers,N,0.25,cloudy,
CT2019_139,139,14/8/2019,48,48.920,125,57.369,48,48.638,125,59.315,1000,2,28,NA,N,spoons and flashers,N,0.25,cloudy,
CT2019_140,140,14/8/2019,48,48.638,125,59.315,48,48.239,126,01.354,1030,2,32,NA,N,spoons and flashers,N,0.25,cloudy,
CT2019_141,141,14/8/2019,48,48.239,126,01.354,48,47.731,126,03.347,1100,2,32,NA,N,spoons and flashers,Y,0.25,partly sunny,
CT2019_142,142,14/8/2019,48,47.731,126,03.347,48,47.044,126,02.862,1130,2,32,NA,N,spoons and flashers,N,0.25,partly sunny,
CT2019_143,143,14/8/2019,48,47.044,126,02.862,48,46.357,126,01.072,1200,2,32,NA,N,spoons and flashers,N,0.25,sunny,
CT2019_144,144,14/8/2019,48,46.357,126,01.072,48,45.613,125,58.969,1230,2,32,NA,N,spoons and flashers,N,0,sunny,
CT2019_145,145,14/8/2019,48,45.613,125,58.969,48,45.626,125,57.272,1300,2,32,NA,N,spoons and flashers,N,0,sunny,
CT2019_146,146,14/8/2019,48,45.626,125,57.272,48,45.700,125,54.944,1330,2,29,NA,N,spoons and flashers,N,0,sunny,
CT2019_147,147,14/8/2019,48,45.700,125,54.944,48,45.869,125,52.936,1400,2,29,NA,N,spoons and flashers,N,0,sunny,
CT2019_148,148,14/8/2019,48,45.869,125,52.936,48,45.928,125,51.067,1430,2,29,NA,N,spoons and flashers,Y,0,sunny,
CT2019_149,149,14/8/2019,48,45.928,125,51.067,48,45.890,125,49.061,1500,2,29,NA,N,spoons and flashers,Y,0,sunny,
CT2019_150,150,14/8/2019,48,45.890,125,49.061,48,46.054,125,46.815,1530,2,29,NA,N,spoons and flashers,N,0,sunny,STOP at 1600 and 48 46.054 125 46.815
CT2019_151,151,15/8/2019,48,52.456,125,32.716,48,51.424,125,32.288,0635,2,24,NA,N,spoons and flashers,N,0,cloudy,
CT2019_152,152,15/8/2019,48,51.424,125,32.288,48,49.992,125,32.837,0700,2,24,NA,sea lion,spoons and flashers,N,0,cloudy,
CT2019_153,153,15/8/2019,48,49.992,125,32.837,48,49.334,125,34.435,0730,2,24,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_154,154,15/8/2019,48,49.334,125,34.435,48,49.956,125,32.908,0800,2,24,NA,N,spoons and flashers,N,0,cloudy,
CT2019_155,155,15/8/2019,48,49.956,125,32.908,48,48.917,125,35.744,0830,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_156,156,15/8/2019,48,48.917,125,35.744,48,48.756,125,36.487,0900,2,24,NA,blue shark,spoons and flashers,Y,0.25,cloudy,
CT2019_157,157,15/8/2019,48,48.756,125,36.487,48,48.253,125,38.467,0930,2,24,NA,N,spoons and flashers,N,0.25,cloudy,
CT2019_158,158,15/8/2019,48,48.253,125,38.467,48,47.775,125,40.579,1000,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_159,159,15/8/2019,48,47.775,125,40.579,48,48.104,125,38.761,1030,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_160,160,15/8/2019,48,48.104,125,38.761,48,47.988,125,40.969,1100,2,24,NA,N,spoons and flashers,N,0.25,cloudy,
CT2019_161,161,15/8/2019,48,47.988,125,40.969,48,48.122,125,42.539,1130,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_162,162,15/8/2019,48,48.122,125,42.539,48,48.964,125,43.759,1200,2,24,NA,N,spoons and flashers,Y,0.25,cloudy,
CT2019_163,163,15/8/2019,48,48.964,125,43.759,48,48.766,125,42.057,1230,2,24,NA,N,spoons and flashers,N,0.25,cloudy,
CT2019_164,164,15/8/2019,48,48.766,125,42.057,48,48.248,125,40.194,1300,2,22,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_165,165,15/8/2019,48,48.248,125,40.194,48,47.756,125,39.656,1330,2,22,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_166,166,15/8/2019,48,47.756,125,39.656,48,47.660,125,40.632,1400,2,22,NA,N,spoons and flashers,Y,1,sunny,
CT2019_167,167,15/8/2019,48,47.660,125,40.632,48,47.640,125,38.329,1430,2,22,NA,N,spoons and flashers,Y,1,sunny,
CT2019_168,168,15/8/2019,48,47.640,125,38.329,48,47.760,125,36.351,1500,2,22,NA,N,spoons and flashers,Y,1,sunny,
CT2019_169,169,15/8/2019,48,47.760,125,36.351,48,48.395,125,34.650,1530,2,27,NA,N,spoons and flashers,Y,1,sunny,
CT2019_170,170,15/8/2019,48,48.395,125,34.650,48,49.250,125,33.074,1600,2,27,NA,N,spoons and flashers,N,1,partly sunny,STOP at 1630 48 49.250 125 33.074
CT2019_171,171,16/8/2019,48,51.902,125,32.021,48,50.057,125,32.297,0645,2,22,NA,N,spoons and flashers,Y,1.5,cloudy,check start lat
CT2019_172,172,16/8/2019,48,50.057,125,32.297,48,49.207,125,33.565,0730,2,22,NA,N,spoons and flashers,Y,1.5,cloudy,
CT2019_173,173,16/8/2019,48,49.207,125,33.565,48,48.360,125,35.665,0800,2,22,NA,N,spoons and flashers,N,1.5,cloudy,
CT2019_174,174,16/8/2019,48,48.360,125,35.665,48,47.730,125,37.193,0830,2,22,NA,N,spoons and flashers,Y,1.5,cloudy,
CT2019_175,175,16/8/2019,48,47.730,125,37.193,48,47.734,125,38.008,0900,2,22,NA,N,spoons and flashers,Y,1.5,cloudy,
CT2019_176,176,16/8/2019,48,47.734,125,38.008,48,47.900,125,36.323,0930,2,22,NA,N,spoons and flashers,N,1.5,cloudy,
CT2019_177,177,16/8/2019,48,47.900,125,36.323,48,48.763,125,34.608,1000,2,22,NA,N,spoons and flashers,Y,1.5,cloudy,
CT2019_178,178,16/8/2019,48,48.763,125,34.608,48,48.544,125,35.100,1030,2,22,NA,N,spoons and flashers,Y,1.5,cloudy,
CT2019_179,179,16/8/2019,48,48.544,125,35.100,48,47.974,125,36.466,1100,2,24,NA,N,spoons and flashers,Y,1.5,cloudy,
CT2019_180,180,16/8/2019,48,47.974,125,36.466,48,47.138,125,38.826,1130,2,24,NA,N,spoons and flashers,Y,1,sunny,
CT2019_181,181,16/8/2019,48,47.138,125,38.826,48,47.499,125,37.303,1200,2,24,NA,N,spoons and flashers,N,1,partly sunny,
CT2019_182,182,16/8/2019,48,47.499,125,37.303,48,47.901,125,35.904,1230,2,24,NA,N,spoons and flashers,Y,1,partly sunny,
CT2019_183,183,16/8/2019,48,47.901,125,35.904,48,48.897,125,34.495,1300,2,24,NA,N,spoons and flashers,N,1,partly sunny,
CT2019_184,184,16/8/2019,48,48.897,125,34.495,48,48.426,125,35.585,1330,2,24,NA,N,spoons and flashers,Y,1,partly sunny,
CT2019_185,185,16/8/2019,48,48.426,125,35.585,48,48.896,125,34.494,1400,2,24,NA,N,spoons and flashers,N,1,partly sunny,
CT2019_186,186,16/8/2019,48,48.896,125,34.494,48,50.359,125,32.152,1430,2,24,NA,N,spoons and flashers,Y,1,partly sunny,STOP at 1515 48 50.359 and 125 32.152
CT2019_187,187,23/8/2019,48,38.278,125,37.292,48,36.482,125,39.048,0845,2,28,NA,N,spoons and flashers,Y,0,overcast,
CT2019_188,188,23/8/2019,48,36.482,125,39.048,48,35.392,125,40.563,0930,2,28,NA,N,spoons and flashers,Y,0,overcast,
