Column Name			Column Definition
S_SOCKEYE6			The count of smolt-sized Sockeye Salmon that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
S_CHINOOK1			The count of smolt-sized Chinook Salmon that were captured during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
S_CHINOOK2			The count of smolt-sized Chinook Salmon that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
S_CHINOOK3			The count of smolt-sized Chinook Salmon that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
S_CHINOOK4			The count of smolt-sized Chinook Salmon that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
S_CHINOOK5			The count of smolt-sized Chinook Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
S_CHINOOK6			The count of smolt-sized Chinook Salmon that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
S_COHO1				The count of smolt-sized Coho Salmon that were captured during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
S_COHO2				The count of smolt-sized Coho Salmon that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
S_COHO3				The count of smolt-sized Coho Salmon that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
S_COHO4				The count of smolt-sized Coho Salmon that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
S_COHO5				The count of smolt-sized Coho Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
S_COHO6				The count of smolt-sized Coho Salmon that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
S_CHUM1				The count of smolt-sized Chum Salmon that were captured during the sampling event. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
S_CHUM2				The count of smolt-sized Chum Salmon that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
S_CHUM3				The count of smolt-sized Chum Salmon that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
S_CHUM4				The count of smolt-sized Chum Salmon that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
S_CHUM5				The count of smolt-sized Chum Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
S_CHUM6				The count of smolt-sized Chum Salmon that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
S_PINK1				The count of smolt-sized Pink Salmon that were captured during the sampling event. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
S_PINK2				The count of smolt-sized Pink Salmon that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
S_PINK3				The count of smolt-sized Pink Salmon that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
S_PINK4				The count of smolt-sized Pink Salmon that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
S_PINK5				The count of smolt-sized Pink Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
S_PINK6				The count of smolt-sized Pink Salmon that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
S_STEELHD1			The count of smolt-sized Steelhead Salmon that were captured during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
S_STEELHD2			The count of smolt-sized Steelhead Salmon that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
S_STEELHD3			The count of smolt-sized Steelhead Salmon that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
S_STEELHD4			The count of smolt-sized Steelhead Salmon that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
S_STEELHD5			The count of smolt-sized Steelhead Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
S_STEELHD6			The count of smolt-sized Steelhead Salmon that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
S_CUTTHRT1			The count of smolt-sized Cutthroat Trout that were captured during the sampling event. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
S_CUTTHRT2			The count of smolt-sized Cutthroat Trout that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
S_CUTTHRT3			The count of smolt-sized Cutthroat Trout that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
S_CUTTHRT4			The count of smolt-sized Cutthroat Trout that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
S_CUTTHRT5			The count of smolt-sized Cutthroat Trout that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
S_CUTTHRT6			The count of smolt-sized Cutthroat Trout that were examined during the sampling event and found to possess an external marking (e.g. hot wire brand) previously applied by the researcher. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
J_CHINOOK1			The count of juvenile-sized Chinook Salmon that were captured during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
J_CHINOOK2			The count of juvenile-sized Chinook Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
J_CHINOOK3			The count of juvenile-sized Chinook Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
J_COHO1				The count of juvenile-sized Coho Salmon that were captured during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
J_COHO2				The count of juvenile-sized Coho Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
J_COHO3				The count of juvenile-sized Coho Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
J_STEELHD1			The count of juvenile-sized Steelhead Salmon that were captured during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
J_STEELHD2			The count of juvenile-sized Steelhead Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
J_STEELHD3			The count of juvenile-sized Steelhead Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
J_CUTTHRT1			The count of juvenile-sized Cutthroat Trout that were captured during the sampling event. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
J_CUTTHRT2			The count of juvenile-sized Cutthroat Trout that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
J_CUTTHRT3			The count of juvenile-sized Cutthroat Trout that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus clarkii clarkii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:323483.
A_SOCKEYE1			The count of adult-sized Sockeye Salmon that were captured during the sampling event. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
A_SOCKEYE2			The count of adult-sized Sockeye Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
A_SOCKEYE3			The count of adult-sized Sockeye Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
A_CHINOOK1			The count of adult-sized Chinook Salmon that were captured during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
A_CHINOOK2			The count of adult-sized Chinook Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
A_CHINOOK3			The count of adult-sized Chinook Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus tshawytscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158075.
A_COHO1				The count of adult-sized Coho Salmon that were captured during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
A_COHO2				The count of adult-sized Coho Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
A_COHO3				The count of adult-sized Coho Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus kisutch. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127184.
A_CHUM1				The count of adult-sized Chum Salmon that were captured during the sampling event. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
A_CHUM2				The count of adult-sized Chum Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
A_CHUM3				The count of adult-sized Chum Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus keta. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127183.
A_PINK1				The count of adult-sized Pink Salmon that were captured during the sampling event. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
A_PINK2				The count of adult-sized Pink Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
A_PINK3				The count of adult-sized Pink Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus gorbuscha. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127182.
A_STEELHD1			The count of adult-sized Steelhead Salmon that were captured during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
A_STEELHD2			The count of adult-sized Steelhead Salmon that were sampled (measured for length and possibly for sex and stomach contents) and examined (visually for CWT) during the sampling event. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
A_STEELHD3			The count of adult-sized Steelhead Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus mykiss. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127185.
DOGFISH1			The count of Spiny Dogfish that were captured during the sampling event. Scientific name: Squalus acanthias. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:105923.
DOGFISH2			The count of Spiny Dogfish that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Squalus acanthias. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:105923.
HAKE1				The count of Pacific Hake that were captured during the sampling event. Scientific name: Merluccius productus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:272458.
HAKE2				The count of Pacific Hake that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Merluccius productus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:272458.
POLLOCK1			The count of Walleye Pollock that were captured during the sampling event. Scientific name: Gadus chalcogrammus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:300735.
POLLOCK2			The count of Walleye Pollock that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Gadus chalcogrammus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:300735.
CHUB_MACK1			The count of Chub Mackerel that were captured during the sampling event. Scientific name: Scomber japonicus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127022.
CHUB_MACK2			The count of Chub Mackerel that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Scomber japonicus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:127022.
BLACK_RF1			The count of Black Rockfish that were captured during the sampling event. Scientific name: Sebastes melanops. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:274817.
BLACK_RF2			The count of Black Rockfish that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Sebastes melanops. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:274817.
ROCKFISH1			The count of Rockfish of unknown species that were captured during the sampling event. Scientific name: Scorpaenidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125595.
ROCKFISH2			The count of Rockfish of unknown species that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Scorpaenidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125595.
MIDSHIPMN1			The count of Plainfin Midshipman that were captured during the sampling event. Scientific name: Porichthys notatus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:275658.
MIDSHIPMN2			The count of Plainfin Midshipman that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Porichthys notatus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:275658.
SCULPIN1			The count of Sculpin of unknown species that were captured during the sampling event. Scientific name: Cottidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125589.
SCULPIN2			The count of Sculpin of unknown species that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Cottidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125589.
SABLEFISH1			The count of Sablefish that were captured during the sampling event. Scientific name: Anoplopoma fimbria. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:159463.
SABLEFISH2			The count of Sablefish that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Anoplopoma fimbria. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:159463.
LINGCOD1			The count of Lingcod that were captured during the sampling event. Scientific name: Ophiodon elongatus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:240745.
LINGCOD2			The count of Lingcod that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Ophiodon elongatus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:240745.
GREENLING1			The count of Greenling of unknown species that were captured during the sampling event. Scientific name: Hexagrammidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:154415.
GREENLING2			The count of Greenling of unknown species that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Hexagrammidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:154415.
STICKLEBK1			The count of Threespine Stickleback that were captured during the sampling event. Scientific name: Gasterosteus aculeatus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:126505.
STICKLEBK2			The count of Threespine Stickleback that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Gasterosteus aculeatus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:126505.
HERRING1			The count of Pacific Herring that were captured during the sampling event. Scientific name: Clupea pallasii pallasii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:293568.
HERRING2			The count of Pacific Herring that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Clupea pallasii pallasii. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:293568.
ANCHOVY1			The count of Northern Anchovy that were captured during the sampling event. Scientific name: Engraulis mordax. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:272286.
ANCHOVY2			The count of Northern Anchovy that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Engraulis mordax. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:272286.
AM_SHAD1			The count of American Shad that were captured during the sampling event. Scientific name: Alosa sapidissima. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158670.
AM_SHAD2			The count of American Shad that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Alosa sapidissima. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:158670.
SMELT1				The count of Smelt of unknown species that were captured during the sampling event. Scientific name: Osmeridae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125513.
SMELT2				The count of Smelt of unknown species that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Osmeridae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125513.
GUNNEL1				The count of Gunnel of unknown species that were captured during the sampling event. Scientific name: Pholidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125550.
GUNNEL2				The count of Gunnel of unknown species that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Pholidae. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:125550.
FLATFISH1			The count of flatfish (Lefteye Flounder and Righteye Flounder) of unknown species that were captured during the sampling event. Scientific name: Pleuronectiformes. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:10331.
FLATFISH2			The count of flatfish (Lefteye Flounder and Righteye Flounder) of unknown species that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Pleuronectiformes. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:10331.
SHINER_P1			The count of Shiner Perch that were captured during the sampling event. Scientific name: Cymatogaster aggregata. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:280461.
SHINER_P2			The count of Shiner Perch that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Cymatogaster aggregata. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:280461.
PILE_PERC1			The count of Pile Perch that were captured during the sampling event. Scientific name: Rhacochilus vacca. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:282576.
PILE_PERC2			The count of Pile Perch that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Rhacochilus vacca. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:282576.
S_SEAPERC1			The count of Striped Seaperch that were captured during the sampling event. Scientific name: Embiotoca lateralis. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:240740.
S_SEAPERC2			The count of Striped Seaperch that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Embiotoca lateralis. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:240740.
BAY_PIPE1			The count of Bay Pipefish that were captured during the sampling event. Scientific name: Syngnathus leptorhynchus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:275226.
BAY_PIPE2			The count of Bay Pipefish that were that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. Scientific name: Syngnathus leptorhynchus. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:275226.
OTHER				The species name, caught count and sampled count of other species (not included in specific columns) that were captured during the sampling event, using the recording format of "SPECIES_NAME CAUGHT_COUNT // SAMPLED_COUNT". May also contain comments regarding the set such as "NO CATCH 0//0" to indicate that the set was performed but that nothing was captured. The first record for a year also includes a note on when the database was last updated.
OTHER2				The count of other species (not included in specific columns) that were sampled (measured for length and possibly for sex and stomach contents) during the sampling event. (Duplicates some of the data from the OTHER column but was used to verify the expected count of fish length measurement records.)
COMMENTS			The explanatory notes associated with the sampling event as recorded on the field sheet.
